loss,params,iteration,estimators,train_time
0.24194735948263124,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7337522781095079, 'learning_rate': 0.02179596504665995, 'min_child_samples': 350, 'num_leaves': 148, 'reg_alpha': 0.26930400839244084, 'reg_lambda': 0.919556543624854, 'subsample_for_bin': 160000, 'subsample': 0.7826778049403744}",38,102,2.623017699999764
0.23931598456380376,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6205890531631009, 'learning_rate': 0.03210513149120729, 'min_child_samples': 205, 'num_leaves': 39, 'reg_alpha': 0.9017466186178421, 'reg_lambda': 0.7630857114627184, 'subsample_for_bin': 60000, 'subsample': 0.9767140483028351}",39,105,3.2308365000008052
0.23883993827584804,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.746465194418216, 'learning_rate': 0.06415277641154056, 'min_child_samples': 300, 'num_leaves': 46, 'reg_alpha': 0.5400949460485138, 'reg_lambda': 0.35123623681510796, 'subsample_for_bin': 80000, 'subsample': 0.6188165624111014}",40,29,1.7509940999998435
0.24001283074379487,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8306798436672667, 'learning_rate': 0.016763932096288195, 'min_child_samples': 385, 'num_leaves': 76, 'reg_alpha': 0.8252782205192666, 'reg_lambda': 0.8471098824010423, 'subsample_for_bin': 260000, 'subsample': 0.7116453666873006}",41,104,2.670940199999677
0.2420712556296487,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7095894612256991, 'learning_rate': 0.047978850945945346, 'min_child_samples': 165, 'num_leaves': 57, 'reg_alpha': 0.3410758191624865, 'reg_lambda': 0.7353503821100222, 'subsample_for_bin': 120000, 'subsample': 0.8346392911256826}",42,45,2.6411874999994325
0.2395223009672518,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6459673880069475, 'learning_rate': 0.03926833662113072, 'min_child_samples': 455, 'num_leaves': 124, 'reg_alpha': 0.45203887376261737, 'reg_lambda': 0.6221984012255094, 'subsample_for_bin': 40000, 'subsample': 0.797470494228335}",43,25,1.4005365000002712
0.24033517877453492,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8895827032787222, 'learning_rate': 0.019895372995915026, 'min_child_samples': 230, 'num_leaves': 31, 'reg_alpha': 0.22815041599155958, 'reg_lambda': 0.9189997293359177, 'subsample_for_bin': 140000, 'subsample': 0.8588684629701142}",44,105,3.700758100000712
0.24510210082912265,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7954381746959474, 'learning_rate': 0.05562128469402514, 'min_child_samples': 335, 'num_leaves': 137, 'reg_alpha': 0.1550390246522547, 'reg_lambda': 0.5047939062350381, 'subsample_for_bin': 220000, 'subsample': 0.7687772033150528}",45,33,1.9482041999999637
0.2465468136773652,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9963892865558668, 'learning_rate': 0.011485716943186501, 'min_child_samples': 390, 'num_leaves': 47, 'reg_alpha': 0.7382790193202043, 'reg_lambda': 0.8217619440457093, 'subsample_for_bin': 180000, 'subsample': 1.0}",46,58,1.965206500000022
0.24486931696042746,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.616632136946937, 'learning_rate': 0.07642495713454167, 'min_child_samples': 110, 'num_leaves': 38, 'reg_alpha': 0.5649803304756255, 'reg_lambda': 0.3974669355340731, 'subsample_for_bin': 100000, 'subsample': 0.9130067688604946}",47,23,2.8563796999997066
0.24876267235166394,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9342458209457409, 'learning_rate': 0.02930588425344908, 'min_child_samples': 245, 'num_leaves': 62, 'reg_alpha': 0.92442206452377, 'reg_lambda': 0.6789062039034083, 'subsample_for_bin': 20000, 'subsample': 1.0}",48,29,1.5209509999995134
0.24020729941584984,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6773196432635425, 'learning_rate': 0.035689101899805516, 'min_child_samples': 285, 'num_leaves': 105, 'reg_alpha': 0.3103951714981847, 'reg_lambda': 0.2553889257530264, 'subsample_for_bin': 240000, 'subsample': 0.8327116466117159}",49,45,2.20099190000019
0.24237170027140276,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7471329903426867, 'learning_rate': 0.024138399383108283, 'min_child_samples': 435, 'num_leaves': 32, 'reg_alpha': 0.8283179917407417, 'reg_lambda': 0.7586014617603685, 'subsample_for_bin': 160000, 'subsample': 0.7201250258208436}",50,56,2.0745882999999594
0.25536552880937,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7775701264439969, 'learning_rate': 0.019992522062407665, 'min_child_samples': 65, 'num_leaves': 72, 'reg_alpha': 0.655704095381275, 'reg_lambda': 0.9967574501136798, 'subsample_for_bin': 200000, 'subsample': 1.0}",51,51,3.0874134000005142
0.2410910711580433,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7149852183574651, 'learning_rate': 0.014467493833979455, 'min_child_samples': 410, 'num_leaves': 36, 'reg_alpha': 0.37036377813204047, 'reg_lambda': 0.5818011047102544, 'subsample_for_bin': 60000, 'subsample': 0.9547753450937454}",52,112,3.5936052000006384
0.23868395174293577,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.65842212789399, 'learning_rate': 0.01753421345678486, 'min_child_samples': 150, 'num_leaves': 124, 'reg_alpha': 0.12929462230975883, 'reg_lambda': 0.5350776339894938, 'subsample_for_bin': 40000, 'subsample': 1.0}",53,56,2.572803200000635
0.24132970978861112,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9586667963759735, 'learning_rate': 0.11283660807247572, 'min_child_samples': 210, 'num_leaves': 85, 'reg_alpha': 0.22645505433422206, 'reg_lambda': 0.45842407735482127, 'subsample_for_bin': 80000, 'subsample': 0.5511643188456166}",54,17,2.3152055999998993
0.23821600195610082,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6015411259450753, 'learning_rate': 0.03995364708175951, 'min_child_samples': 190, 'num_leaves': 108, 'reg_alpha': 0.08379653608091919, 'reg_lambda': 0.9415083611387332, 'subsample_for_bin': 120000, 'subsample': 0.9933268037436069}",55,70,3.1098879000001034
0.2419399003346252,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6936407084191893, 'learning_rate': 0.06214147488800304, 'min_child_samples': 180, 'num_leaves': 55, 'reg_alpha': 0.04063147925304314, 'reg_lambda': 0.7020021328407344, 'subsample_for_bin': 300000, 'subsample': 1.0}",56,16,1.5691668999998
0.24240085479607454,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6284762852199358, 'learning_rate': 0.15353629213756204, 'min_child_samples': 115, 'num_leaves': 96, 'reg_alpha': 0.7377153106781472, 'reg_lambda': 0.11441766482813243, 'subsample_for_bin': 280000, 'subsample': 0.6352385063465081}",57,10,2.780052699999942
0.23297857831933,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7509976837490597, 'learning_rate': 0.0765662254430488, 'min_child_samples': 270, 'num_leaves': 48, 'reg_alpha': 0.18975516926895872, 'reg_lambda': 0.8439863690273732, 'subsample_for_bin': 60000, 'subsample': 0.6704269318204827}",58,33,2.132615400000759
0.23652794006352063,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8185259348671011, 'learning_rate': 0.08396527625443338, 'min_child_samples': 270, 'num_leaves': 60, 'reg_alpha': 0.48447121415609884, 'reg_lambda': 0.8401914517494683, 'subsample_for_bin': 60000, 'subsample': 0.6758617617004369}",59,28,2.143853300000046
0.24231499434666248,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.8700211030925368, 'learning_rate': 0.10266024920315298, 'min_child_samples': 305, 'num_leaves': 48, 'reg_alpha': 0.2612897340730558, 'reg_lambda': 0.6175588215783405, 'subsample_for_bin': 100000, 'subsample': 0.5006546950081592}",60,27,2.2617818999997326
0.24745612636092473,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.753886764467195, 'learning_rate': 0.15040680257423508, 'min_child_samples': 370, 'num_leaves': 65, 'reg_alpha': 0.8542334532415163, 'reg_lambda': 0.7389352199496072, 'subsample_for_bin': 80000, 'subsample': 1.0}",61,4,0.9661626000006436
0.24144986886252917,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9039081426537048, 'learning_rate': 0.05023543320874673, 'min_child_samples': 335, 'num_leaves': 80, 'reg_alpha': 0.442046944492283, 'reg_lambda': 0.8787193147813884, 'subsample_for_bin': 100000, 'subsample': 0.5605786736003794}",62,54,2.4121069000002535
0.23598750246839428,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7885585008423576, 'learning_rate': 0.07367710484047449, 'min_child_samples': 240, 'num_leaves': 88, 'reg_alpha': 0.3752635568173021, 'reg_lambda': 0.030043087746579045, 'subsample_for_bin': 40000, 'subsample': 0.6542229127059294}",63,33,2.265176099999735
0.23580095620628594,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7655351825742228, 'learning_rate': 0.13116407742922698, 'min_child_samples': 220, 'num_leaves': 70, 'reg_alpha': 0.5869334186053297, 'reg_lambda': 0.9622501772566364, 'subsample_for_bin': 20000, 'subsample': 0.6001175741317574}",64,20,2.042289300000448
0.24476307256512608,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.836322260532667, 'learning_rate': 0.04575976223176028, 'min_child_samples': 395, 'num_leaves': 42, 'reg_alpha': 0.3097848735153798, 'reg_lambda': 0.8992132016893537, 'subsample_for_bin': 120000, 'subsample': 1.0}",65,18,1.0744070000000647
