class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,loss,iteration
,goss,40,0.03487362448885011,100000,45,0.7346938775510203,0.9795918367346939,0.6,1.0,0.255008129020567,77
balanced,gbdt,145,0.1596638189110357,220000,140,0.2040816326530612,0.8163265306122448,0.9111111111111111,0.6262626262626263,0.25633752202491633,58
,gbdt,106,0.058050059771051356,280000,65,0.6326530612244897,0.5306122448979591,0.6888888888888889,0.6212121212121212,0.25636545749086004,83
balanced,gbdt,143,0.03448943627095857,120000,100,0.18367346938775508,0.5306122448979591,0.8666666666666667,0.7929292929292929,0.25639240924355167,91
,goss,142,0.006843549533342086,280000,80,0.6938775510204082,0.42857142857142855,0.9555555555555555,1.0,0.2572393929415533,88
balanced,goss,106,0.016298302492071925,140000,95,0.673469387755102,0.6122448979591836,0.9111111111111111,1.0,0.257865963897135,29
balanced,goss,73,0.009755131450392309,60000,65,0.2040816326530612,0.5510204081632653,0.8222222222222222,1.0,0.2580784323630838,86
,gbdt,101,0.006450936939768325,20000,85,0.3877551020408163,0.8163265306122448,0.9111111111111111,0.797979797979798,0.2582061823448336,19
balanced,gbdt,133,0.03436231638749078,120000,55,0.36734693877551017,0.673469387755102,0.6888888888888889,0.5757575757575758,0.25949024029740264,71
,goss,58,0.06437322298735856,180000,70,0.18367346938775508,0.44897959183673464,0.6444444444444444,1.0,0.26281637931063495,1
,gbdt,144,0.005774480071545175,120000,35,0.24489795918367346,0.1020408163265306,0.7333333333333333,0.5909090909090909,0.263310136642228,26
balanced,goss,106,0.040874704315014034,80000,80,1.0,0.18367346938775508,0.9555555555555555,1.0,0.26484678729175914,50
balanced,goss,102,0.027029891017739963,260000,65,0.3469387755102041,0.6326530612244897,1.0,1.0,0.2669221730312643,66
balanced,goss,145,0.02087314253774815,120000,45,0.18367346938775508,0.6938775510204082,0.9111111111111111,1.0,0.26993507029975417,17
,goss,115,0.055945612728102,200000,25,0.3877551020408163,0.4081632653061224,0.8222222222222222,1.0,0.2783916998991113,12
